name,label,label::French,region,village_name,supervisor
316,316 -  Dan Falke ,316 -  Dan Falke ,MARADI, Dan Falke ,sup17
113,00113 - Aasharawa,00113 - Aasharawa,MARADI,Aasharawa,sup25
226,00226 - Abegou,00226 - Abegou,MARADI,Abegou,sup25
123,00123 - Achagamandi,00123 - Achagamandi,MARADI,Achagamandi,sup15
64,00064 - Achi Basa,00064 - Achi Basa,MARADI,Achi Basa,sup26
146,00146 - Ajia Saboua,00146 - Ajia Saboua,MARADI,Ajia Saboua,sup19
3,00003 - Ajiefa,00003 - Ajiefa,MARADI,Ajiefa,sup18
138,00138 - Akomba,00138 - Akomba,MARADI,Akomba,sup22
150,00150 - Akyata,00150 - Akyata,MARADI,Akyata,sup27
255,00255 - Alassane Kouama,00255 - Alassane Kouama,MARADI,Alassane Kouama,sup22
21,00021 - Allah kabani,00021 - Allah kabani,MARADI,Allah kabani,sup18
94,00094 - Amagano,00094 - Amagano,MARADI,Amagano,sup19
259,00259 - Amani Arewa,00259 - Amani Arewa,MARADI,Amani Arewa,sup23
256,00256 - Amani Goussoum,00256 - Amani Goussoum,MARADI,Amani Goussoum,sup22
189,00189 - Angoual Lima,00189 - Angoual Lima,MARADI,Angoual Lima,sup31
5,00005 - Angoual Tambari,00005 - Angoual Tambari,MARADI,Angoual Tambari,sup14
181,00181 - Araouraye,00181 - Araouraye,MARADI,Araouraye,sup27
126,00126 - Atalbawa,00126 -Atalbawa,MARADI,Atalbawa,sup19
115,00115 - Aza,00115 - Aza,MARADI,Aza,sup25
52,00052 - Bakachanta,00052 - Bakachanta,MARADI,Bakachanta,sup27
182,00182 - Bamida,00182 - Bamida,MARADI,Bamida,sup27
103,00103 - Baraya,00103 - Baraya,MARADI,Baraya,sup22
104,00104 - Baraya Dan Tanko,00104 - Baraya Dan Tanko,MARADI,Baraya Dan Tanko,sup22
251,00251 - Bargou kalla,00251 - Bargou kalla,MARADI,Bargou kalla,sup18
198,00198 - Basare,00198 - Basare,MARADI,Basare,sup31
221,00221 - Base 4 Dokoro Adjerkorya,00221 - Base 4 Dokoro Adjerkorya,MARADI,Base 4 Dokoro Adjerkorya,sup26
125,00125 - Bawore,00125 - Bawore,MARADI,Bawore,sup15
246,00246 - Bazala,00246 - Bazala,MARADI,Bazala,sup17
80,00080 - Beche,00080 - Beche,MARADI,Beche,sup26
174,00174 - Botche,00174 - Botche,MARADI,Botche,sup18
137,00137 - Boulama Mussa,00137 - Boulama Mussa,MARADI,Boulama Mussa,sup20
265,00265 - Bouzouzoum,00265 - Bouzouzoum,MARADI,Bouzouzoum,sup22
172,00172 - Charkette,00172 - Charkette,MARADI,Charkette,sup18
7,00007 - Chiragagou,00007 - Chiragagou,MARADI,Chiragagou,sup14
66,00066 - Dachel Barmo,00066 - Dachel Barmo,MARADI,Dachel Barmo,sup26
110,00110 - Dadani,00110 - Dadani,MARADI,Dadani,sup29
190,00190 - Dadin Serki,00190 - Dadin Serki,MARADI,Dadin Serki,sup31
272,00272 - Dadin Tamro,00272 - Dadin Tamro,MARADI,Dadin Tamro,sup23
2,00002 - Dajin amia,00002 - Dajin amia,MARADI,Dajin amia,sup29
88,00088 - Daju Alhg Sabra,00088 - Daju Alhg Sabra,MARADI,Daju Alhg Sabra,sup22
