name,label,label::French,label::English,region,department,commune,village_name,supervisors
113,00113 - Aasharawa,00113 - Aasharawa,00113 - Aasharawa,MARADI,tessaoua,ourafane_north,Aasharawa,sup25
226,00226 - Abegou,00226 - Abegou,00226 - Abegou,MARADI,tessaoua,ourafane_north,Abegou,sup25
123,00123 - Achagamandi,00123 - Achagamandi,00123 - Achagamandi,MARADI,dakoro,bader_goula,Achagamandi,sup15
64,00064 - Achi Basa,00064 - Achi Basa,00064 - Achi Basa,MARADI,dakoro,dakoro,Achi Basa,sup26
311,00311 - Ajia Saboua,00311 - Ajia Saboua,00311 - Ajia Saboua,MARADI,dakoro,kornaka,Ajia Saboua,sup19
3,00003 - Ajiefa,00003 - Ajiefa,00003 - Ajiefa,MARADI,guidan_roumji,guidan_roumji,Ajiefa,sup18
138,00138 - Akomba,00138 - Akomba,00138 - Akomba,MARADI,mayahi,mayahi_north,Akomba,sup22
112,00112 - Akyata,00112 - Akyata,00112 -Akyata,MARADI,mayahi,mayahi_south,Akyata,sup27
255,00255 - Alassane Kouama,00255 - Alassane Kouama,00255 - Alassane Kouama,MARADI,mayahi,mayahi_north,Alassane Kouama,sup22
21,00021 - Allah kabani,00021 - Allah kabani,00021 - Allah kabani,MARADI,guidan_roumji,guidan_roumji,Allah kabani,sup18
94,00094 - Amagano,00094 - Amagano,00094 - Amagano,MARADI,dakoro,kornaka,Amagano,sup19
259,00259 - Amani Arewa,00259 - Amani Arewa,00259 - Amani Arewa,MARADI,mayahi,mayahi_north,Amani Arewa,sup23
256,00256 - Amani Goussoum,00256 - Amani Goussoum,00256 - Amani Goussoum,MARADI,mayahi,mayahi_north,Amani Goussoum,sup22
189,00189 - Angoual Lima,00189 - Angoual Lima,00189 - Angoual Lima,MARADI,tessaoua,tessaoua,Angoual Lima,sup31
5,00005 - Angoual Tambari,00005 - Angoual Tambari,00005 - Angoual Tambari,MARADI,gazaoua,gazaoua,Angoual Tambari,sup14
181,00181 - Araouraye,00181 - Araouraye,00181 - Araouraye,MARADI,mayahi,mayahi_south,Araouraye,sup27
312,00312 - Atalbawa,00312 - Atalbawa,00312 - Atalbawa,MARADI,dakoro,kornaka,Atalbawa,sup19
115,00115 - Aza,00115 - Aza,00115 - Aza,MARADI,tessaoua,ourafane_north,Aza,sup25
52,00052 - Bakachanta,00052 - Bakachanta,00052 - Bakachanta,MARADI,mayahi,mayahi_south,Bakachanta,sup27
182,00182 - Bamida,00182 - Bamida,00182 - Bamida,MARADI,mayahi,mayahi_south,Bamida,sup27
103,00103 - Baraya,00103 - Baraya,00103 - Baraya,MARADI,mayahi,mayahi_north,Baraya,sup22
104,00104 - Baraya Dan Tanko,00104 - Baraya Dan Tanko,00104 - Baraya Dan Tanko,MARADI,mayahi,mayahi_north,Baraya Dan Tanko,sup22
22,00022 - Bargou kalla,00022 - Bargou kalla,00022 - Bargou kalla,MARADI,guidan_roumji,guidan_roumji,Bargou kalla,sup18
198,00198 - Basare,00198 - Basare,00198 - Basare,MARADI,tessaoua,tessaoua,Basare,sup31
221,00221 - Base 4 Dokoro Adjerkorya,00221 - Base 4 Dokoro Adjerkorya,00221 - Base 4 Dokoro Adjerkorya,MARADI,dakoro,dakoro,Base 4 Dokoro Adjerkorya,sup26
125,00125 - Bawore,00125 - Bawore,00125 - Bawore,MARADI,dakoro,bader_goula,Bawore,sup15
246,00246 - Bazala,00246 - Bazala,00246 - Bazala,MARADI,dakoro,dan_goulbi,Bazala,sup17
80,00080 - Beche,00080 - Beche,00080 - Beche,MARADI,dakoro,dakoro_south,Beche,sup26
174,00174 - Botche,00174 - Botche,00174 - Botche,MARADI,guidan_roumji,guidan_roumji,Botche,sup18
137,00137 - Boulama Mussa,00137 - Boulama Mussa,00137 - Boulama Mussa,MARADI,mayahi,mayahi,Boulama Mussa,sup20
265,00265 - Bouzouzoum,00265 - Bouzouzoum,00265 - Bouzouzoum,MARADI,mayahi,mayahi_west,Bouzouzoum,sup22
172,00172 - Charkette,00172 - Charkette,00172 - Charkette,MARADI,guidan_roumji,guidan_roumji,Charkette,sup18
7,00007 - Chiragagou,00007 - Chiragagou,00007 - Chiragagou,MARADI,gazaoua,gazaoua,Chiragagou,sup14
66,00066 - Dachel Barmo,00066 - Dachel Barmo,00066 - Dachel Barmo,MARADI,dakoro,dakoro_south,Dachel Barmo,sup26
110,00110 - Dadani,00110 - Dadani,00110 - Dadani,MARADI,gazaoua,gazaoua,Dadani,sup29
142,00142 - Dadin Kowa,00142 - Dadin Kowa,00142 - Dadin Kowa,MARADI,tessaoua,tessaoua,Dadin Kowa,sup77
190,00190 - Dadin Serki,00190 - Dadin Serki,00190 - Dadin Serki,MARADI,tessaoua,tessaoua,Dadin Serki,sup31
272,00272 - Dadin Tamro,00272 - Dadin Tamro,00272 - Dadin Tamro,MARADI,mayahi,mayahi_west,Dadin Tamro,sup23
2,00002 - Dajin amia,00002 - Dajin amia,00002 - Dajin amia,MARADI,gazaoua,gazaoua,Dajin amia,sup29
88,00088 - Daju Alhg Sabra,00088 - Daju Alhg Sabra,00088 - Daju Alhg Sabra,MARADI,mayahi,mayahi_north,Daju Alhg Sabra,sup22
248,00248 - dakorou Sofwa,00248 - dakorou Sofwa,00248 - dakorou Sofwa,MARADI,dakoro,dan_goulbi,dakorou Sofwa,sup17
263,00263 - Dalgogama,00263 - Dalgogama,00263 - Dalgogama,MARADI,mayahi,mayahi_north,Dalgogama,sup22
211,00211 - Dallawa,00211 - Dallawa,00211 - Dallawa,MARADI,mayahi,mayahi,Dallawa,sup20
144,00144 - Dan adawa,00144 - Dan adawa,00144 - Dan adawa,MARADI,guidan_roumji,guidan_roumji,Dan adawa,sup18
