name,village_name,region,department,commune,supervisor
316,Dan Falke,MARADI,dakoro,kornaka,sup17
113,Aasharawa,MARADI,tessaoua,ourafane_north,sup25
226,Abegou,MARADI,tessaoua,ourafane_north,sup25
123,Achagamandi,MARADI,dakoro,bader_goula,sup15
64,Achi Basa,MARADI,dakoro,dakoro,sup26
146,Ajia Saboua,MARADI,dakoro,dan_goulbi,sup19
3,Ajiefa,MARADI,guidan_roumji,guidan_roumji,sup18
138,Akomba,MARADI,mayahi,mayahi_north,sup22
150,Akyata,MARADI,mayahi,mayahi_north,sup27
255,Alassane Kouama,MARADI,mayahi,mayahi_north,sup22
21,Allah kabani,MARADI,guidan_roumji,guidan_roumji,sup18
94,Amagano,MARADI,dakoro,kornaka,sup19
259,Amani Arewa,MARADI,mayahi,mayahi_north,sup23
256,Amani Goussoum,MARADI,mayahi,mayahi_north,sup22
189,Angoual Lima,MARADI,tessaoua,tessaoua,sup31
5,Angoual Tambari,MARADI,gazaoua,gazaoua,sup14
181,Araouraye,MARADI,mayahi,mayahi_south,sup27
126,Atalbawa,MARADI,bermo,gadabji,sup19
115,Aza,MARADI,tessaoua,ourafane_north,sup25
52,Bakachanta,MARADI,mayahi,mayahi_south,sup27
182,Bamida,MARADI,mayahi,mayahi_south,sup27
103,Baraya,MARADI,mayahi,mayahi_north,sup22
104,Baraya Dan Tanko,MARADI,mayahi,mayahi_north,sup22
251,Bargou kalla,MARADI,dakoro,dan_goulbi,sup18
198,Basare,MARADI,tessaoua,tessaoua,sup31
163,Base 1 Maradi,MARADI,,,pro_m
221,Base 4 Dokoro Adjerkorya,MARADI,dakoro,dakoro,sup26
125,Bawore,MARADI,dakoro,bader_goula,sup15
246,Bazala,MARADI,dakoro,dan_goulbi,sup17
80,Beche,MARADI,dakoro,dakoro_south,sup26
174,Botche,MARADI,guidan_roumji,guidan_roumji,sup18
137,Boulama Mussa,MARADI,mayahi,mayahi,sup20
265,Bouzouzoum,MARADI,mayahi,mayahi_west,sup22
172,Charkette,MARADI,guidan_roumji,guidan_roumji,sup18
7,Chiragagou,MARADI,gazaoua,gazaoua,sup14
66,Dachel Barmo,MARADI,dakoro,dakoro_south,sup26
110,Dadani,MARADI,gazaoua,gazaoua,sup29
190,Dadin Serki,MARADI,tessaoua,tessaoua,sup31
272,Dadin Tamro,MARADI,mayahi,mayahi_west,sup23
2,Dajin amia,MARADI,gazaoua,gazaoua,sup29
88,Daju Alhg Sabra,MARADI,mayahi,mayahi_north,sup22
315,Dakorou Sofwa,MARADI,dakoro,dakoro_north,sup17
263,Dalgogama,MARADI,mayahi,mayahi_north,sup22
211,Dallawa,MARADI,mayahi,mayahi,sup20
144,Dan adawa,MARADI,guidan_roumji,guidan_roumji,sup18
154,Dan Ahi,MARADI,gazaoua,gazaoua,sup22
37,Dan Aicha,MARADI,aguie,tchadoua,sup30
75,Dan Amayria,MARADI,dakoro,dakoro_south,sup26
177,Dan Bago,MARADI,aguie,tchadoua,sup30
117,Dan Baki,MARADI,tessaoua,ourafane_north,sup25
184,Dan Banga,MARADI,mayahi,mayahi_south,sup27
63,Dan Biri Maynasora,MARADI,dakoro,dan_goulbi,sup26
145,Dan Dada,MARADI,mayahi,mayahi_south,sup27
68,Dan Daji,MARADI,dakoro,dakoro_south,sup26
280,Dan Dawo,MARADI,mayahi,mayahi_west,sup23
313,Dan Faraou,MARADI,dakoro,dakoro_north,sup17
276,Dan Farou,MARADI,mayahi,mayahi_west,sup23
225,Dan Fouri,MARADI,tessaoua,ourafane_south,sup28
295,Dan Gadawa,MARADI,mayahi,mayahi,sup20
131,Dan Gadou,MARADI,mayahi,mayahi_north,sup22
95,Dan Gambo,MARADI,dakoro,kornaka,sup19
200,Dan Gouiwa (May Soura),MARADI,tessaoua,tessaoua,sup31
212,Dan Halbawa,MARADI,mayahi,mayahi,sup21
38,Dan Kibia Goussoum,MARADI,aguie,tchadoua,sup30
34,Dan Korai,MARADI,aguie,tchadoua,sup30
93,Dan Madi,MARADI,dakoro,kornaka,sup19
158,Dan Maigeri,MARADI,gazaoua,gazaoua,sup14
54,Dan Maimouna,MARADI,aguie,tchadoua,sup30
70,Dan Marke Gaya,MARADI,dakoro,dakoro_south,sup26
191,Dan Moussa,MARADI,tessaoua,tessaoua,sup31
121,Dan Nari Roro,MARADI,dakoro,bader_goula,sup15
159,Dan Rago,MARADI,gazaoua,gazaoua,sup14
291,Dan Rani,MARADI,mayahi,mayahi,sup20
149,Dan Tabki,MARADI,dakoro,dan_goulbi,sup17
217,Dan Toudou,MARADI,mayahi,mayahi,sup21
49,Danby Dan Aya,MARADI,dakoro,dakoro_south,sup26
53,Dangali,MARADI,aguie,tchadoua,sup30
6,Danjiko,MARADI,gazaoua,gazaoua,sup14
51,Dantchiaco,MARADI,tessaoua,tessaoua,sup26
74,Daouya,MARADI,dakoro,dakoro_south,sup26
47,Dawdawa,MARADI,bermo,bermo,sup16
239,Dembebe,MARADI,dakoro,dan_goulbi,sup17
152,Dodo Maradi,MARADI,gazaoua,gazaoua,sup14
128,Dogon Dawa,MARADI,tessaoua,ourafane_south,sup28
309,Dogon Jima,MARADI,dakoro,kornaka,sup19
41,Dogon Makotchi,MARADI,dakoro,bader_goula,sup15
18,Douma 2,MARADI,gazaoua,gazaoua,sup29
8,Dourgou,MARADI,gazaoua,gazaoua,sup14
302,Edo Gadania,MARADI,bermo,bermo,sup16
69,Eloum,MARADI,dakoro,dakoro_south,sup26
40,Fadadou,MARADI,bermo,bermo,sup16
268,Fadama,MARADI,mayahi,mayahi_west,sup22
180,Fagamniya,MARADI,mayahi,mayahi_south,sup27
106,Fara,MARADI,gazaoua,gazaoua,sup14
81,Farara,MARADI,aguie,tchadoua,sup26
260,Farou Bakoye,MARADI,mayahi,mayahi_north,sup23
232,G.Serkin Makira,MARADI,tessaoua,ourafane_north,sup25
241,Gajiri Saboua,MARADI,dakoro,dan_goulbi,sup19
4,Galoube,MARADI,guidan_roumji,guidan_roumji,sup18
252,Gangara,MARADI,mayahi,mayahi_north,sup22
118,Garin Aman Tinaou,MARADI,dakoro,bader_goula,sup15
248,Garin Bara Gaoudare,MARADI,dakoro,dan_goulbi,sup17
28,Garin Bizoo,MARADI,guidan_roumji,guidan_roumji,sup18
33,Garin koutoubo,MARADI,guidan_roumji,guidan_roumji,sup18
176,Garin Maroussa,MARADI,aguie,tchadoua,sup30
111,Garjagaou,MARADI,aguie,tchadoua,sup29
136,Gasawa,MARADI,mayahi,mayahi_north,sup22
157,Giudan Chadou,MARADI,gazaoua,gazaoua,sup29
314,Goda Maynasara,MARADI,tessaoua,ourafane_south,sup17
48,Goda2- Guidan Kounao,MARADI,dakoro,dakoro_south,sup26
101,Gododji,MARADI,aguie,tchadoua,sup30
235,Goudougwa,MARADI,tessaoua,ourafane_north,sup25
179,Gourbabo,MARADI,dakoro,kornaka,sup19
231,Gourgoumgao,MARADI,tessaoua,ourafane_north,sup25
257,Guidan Abdou,MARADI,mayahi,mayahi_north,sup22
243,Guidan Abdou Maybarewa,MARADI,dakoro,dan_goulbi,sup19
227,Guidan Agali,MARADI,tessaoua,ourafane_south,sup28
197,Guidan Alley,MARADI,tessaoua,tessaoua,sup31
44,Guidan Aman,MARADI,dakoro,bader_goula,sup15
258,Guidan Antou,MARADI,mayahi,mayahi_north,sup22
55,Guidan Arzika,MARADI,mayahi,mayahi_south,sup27
130,Guidan Atcha,MARADI,tessaoua,ourafane_south,sup28
61,Guidan Atche,MARADI,tessaoua,ourafane_south,sup28
230,Guidan Barouma,MARADI,tessaoua,ourafane_north,sup25
135,Guidan Booka,MARADI,mayahi,mayahi_north,sup22
269,Guidan Bouja,MARADI,mayahi,mayahi_north,sup23
234,Guidan Boukari,MARADI,tessaoua,ourafane_north,sup25
282,Guidan Bouzou,MARADI,mayahi,mayahi_middle,sup30
119,Guidan Dan Osmane,MARADI,dakoro,bader_goula,sup15
236,Guidan Gali,MARADI,tessaoua,ourafane_south,sup25
278,Guidan Ganaou,MARADI,mayahi,mayahi_middle,sup23
237,Guidan Goji,MARADI,tessaoua,ourafane_north,sup25
114,Guidan Goula,MARADI,tessaoua,ourafane_north,sup25
129,Guidan Guingama,MARADI,tessaoua,ourafane_south,sup28
133,Guidan Jigo,MARADI,mayahi,mayahi_north,sup22
216,Guidan Jiji,MARADI,mayahi,mayahi,sup21
165,Guidan Kanda + Ignadou,MARADI,gazaoua,gazaoua,sup14
87,Guidan Kani,MARADI,tessaoua,ourafane_north,sup25
233,Guidan Kawra,MARADI,tessaoua,ourafane_north,sup25
